"asin","fnsku","product-name","fulfillment-center","country-code","longest-side","median-side","shortest-side","measurement-units","weight","weight-units","item-volume","volume-units","product-size-tier","average-quantity-on-hand","average-quantity-pending-removal","estimated-total-item-volume","month-of-charge","storage-rate","currency","estimated-monthly-storage-fee","dangerous-goods-storage-type","eligible-for-inventory-discount","qualifies-for-inventory-discount",Account,Country,Reference
"B07S9G4HBQ","X0026SO4NJ","Activated Bamboo Charcoal Bags (9-Pack) Bundle, Air Purifying Bags for Home & Car, Moisture Remover & Air Purifier Bags, Green Charcoal Deodorizer Bags, 50-g, 100-g, and 60-g Charcoal Odor Absorbers","EWR4","US","11.61","10.12","2.28","inches","1.61","pounds","0.1553","cubic feet","Standard-Size","26.00","0.00","4.0375","2019-09","0.69","USD","2.7859","--","true","false",Meal Prep Haven,US,https://sellercentral.amazon.com/gp/ssof/reports/search.html#orderAscending=&recordType=STORAGE_FEE_CHARGES&noResultType=&merchantSku=&fnSku=&FnSkuXORMSku=&reimbursementId=&orderId=&genericOrderId=&asin=&lpn=&shipmentId=&problemType=ALL_DEFECT_TYPES&hazmatStatus=&inventoryEventTransactionType=&fulfillmentCenterId=&transactionItemId=&inventoryAdjustmentReasonGroup=&eventDateOption=1&fromDate=mm%2Fdd%2Fyyyy&toDate=mm%2Fdd%2Fyyyy&startDate=&endDate=&fromMonth=1&fromYear=2019&toMonth=1&toYear=2019&startMonth=&startYear=&endMonth=&endYear=&specificMonth=1&specificYear=2019
"B07S7DW59Z","X0026Q33PV","Bamboo Charcoal Air Purifying Bag (5 Pack) Bundle, Natural Air Fresheners & Odor Eliminators for Home, Bad Air Deodorizer, Closet Freshener, Fridge Deodorizer, Car Air Purifier, Shoe Odor Eliminator","EWR4","US","10.20","8.50","2.91","inches","1.37","pounds","0.1462","cubic feet","Standard-Size","29.17","0.00","4.2641","2019-09","0.69","USD","2.9422","--","true","false",Meal Prep Haven,US,https://sellercentral.amazon.com/gp/ssof/reports/search.html#orderAscending=&recordType=STORAGE_FEE_CHARGES&noResultType=&merchantSku=&fnSku=&FnSkuXORMSku=&reimbursementId=&orderId=&genericOrderId=&asin=&lpn=&shipmentId=&problemType=ALL_DEFECT_TYPES&hazmatStatus=&inventoryEventTransactionType=&fulfillmentCenterId=&transactionItemId=&inventoryAdjustmentReasonGroup=&eventDateOption=1&fromDate=mm%2Fdd%2Fyyyy&toDate=mm%2Fdd%2Fyyyy&startDate=&endDate=&fromMonth=1&fromYear=2019&toMonth=1&toYear=2019&startMonth=&startYear=&endMonth=&endYear=&specificMonth=1&specificYear=2019
"B07S8CVKT3","X0026P07J7","Bamboo Odor Eliminator Bags (8 Pack), Bamboo Charcoal Air Purifying Bag w/Hooks, Closet Dehumidifier, Car Scent Freshener, Gym Bag Deodorizer, Shoe Odor Eliminators, 200g & 50g Bamboo Deodorizer Bags","EWR4","US","12.99","9.49","3.31","inches","2.60","pounds","0.2359","cubic feet","Standard-Size","47.40","0.00","11.1826","2019-09","0.69","USD","7.7142","--","true","false",Meal Prep Haven,US,https://sellercentral.amazon.com/gp/ssof/reports/search.html#orderAscending=&recordType=STORAGE_FEE_CHARGES&noResultType=&merchantSku=&fnSku=&FnSkuXORMSku=&reimbursementId=&orderId=&genericOrderId=&asin=&lpn=&shipmentId=&problemType=ALL_DEFECT_TYPES&hazmatStatus=&inventoryEventTransactionType=&fulfillmentCenterId=&transactionItemId=&inventoryAdjustmentReasonGroup=&eventDateOption=1&fromDate=mm%2Fdd%2Fyyyy&toDate=mm%2Fdd%2Fyyyy&startDate=&endDate=&fromMonth=1&fromYear=2019&toMonth=1&toYear=2019&startMonth=&startYear=&endMonth=&endYear=&specificMonth=1&specificYear=2019
"B0765YF3QP","X00249N7SX","Bamboo Charcoal Air Purifying Bag (5 Pack) Bundle, Natural Air Fresheners & Odor Eliminators for Home, Bad Air Deodorizer, Closet Freshener, Fridge Deodorizer, Car Air Purifier, Shoe Odor Eliminator","EWR4","US","8.60","4.70","2.50","inches","1.35","pounds","0.0585","cubic feet","Standard-Size","0.93","0.00","0.0546","2019-09","0.69","USD","0.0377","--","true","false",Meal Prep Haven,US,https://sellercentral.amazon.com/gp/ssof/reports/search.html#orderAscending=&recordType=STORAGE_FEE_CHARGES&noResultType=&merchantSku=&fnSku=&FnSkuXORMSku=&reimbursementId=&orderId=&genericOrderId=&asin=&lpn=&shipmentId=&problemType=ALL_DEFECT_TYPES&hazmatStatus=&inventoryEventTransactionType=&fulfillmentCenterId=&transactionItemId=&inventoryAdjustmentReasonGroup=&eventDateOption=1&fromDate=mm%2Fdd%2Fyyyy&toDate=mm%2Fdd%2Fyyyy&startDate=&endDate=&fromMonth=1&fromYear=2019&toMonth=1&toYear=2019&startMonth=&startYear=&endMonth=&endYear=&specificMonth=1&specificYear=2019
"B07S9G4HBQ","X0026SO4NJ","Activated Bamboo Charcoal Bags (9-Pack) Bundle, Air Purifying Bags for Home & Car, Moisture Remover & Air Purifier Bags, Green Charcoal Deodorizer Bags, 50-g, 100-g, and 60-g Charcoal Odor Absorbers","MKE1","US","11.61","10.12","2.28","inches","1.61","pounds","0.1553","cubic feet","Standard-Size","62.07","0.00","9.6382","2019-09","0.69","USD","6.6462","--","true","false",Meal Prep Haven,US,https://sellercentral.amazon.com/gp/ssof/reports/search.html#orderAscending=&recordType=STORAGE_FEE_CHARGES&noResultType=&merchantSku=&fnSku=&FnSkuXORMSku=&reimbursementId=&orderId=&genericOrderId=&asin=&lpn=&shipmentId=&problemType=ALL_DEFECT_TYPES&hazmatStatus=&inventoryEventTransactionType=&fulfillmentCenterId=&transactionItemId=&inventoryAdjustmentReasonGroup=&eventDateOption=1&fromDate=mm%2Fdd%2Fyyyy&toDate=mm%2Fdd%2Fyyyy&startDate=&endDate=&fromMonth=1&fromYear=2019&toMonth=1&toYear=2019&startMonth=&startYear=&endMonth=&endYear=&specificMonth=1&specificYear=2019
"B0765YF3QP","X00249N7SX","Bamboo Charcoal Air Purifying Bag (5 Pack) Bundle, Natural Air Fresheners & Odor Eliminators for Home, Bad Air Deodorizer, Closet Freshener, Fridge Deodorizer, Car Air Purifier, Shoe Odor Eliminator","MKE1","US","8.60","4.70","2.50","inches","1.35","pounds","0.0585","cubic feet","Standard-Size","0.10","0.00","0.0058","2019-09","0.69","USD","0.0040","--","true","false",Meal Prep Haven,US,https://sellercentral.amazon.com/gp/ssof/reports/search.html#orderAscending=&recordType=STORAGE_FEE_CHARGES&noResultType=&merchantSku=&fnSku=&FnSkuXORMSku=&reimbursementId=&orderId=&genericOrderId=&asin=&lpn=&shipmentId=&problemType=ALL_DEFECT_TYPES&hazmatStatus=&inventoryEventTransactionType=&fulfillmentCenterId=&transactionItemId=&inventoryAdjustmentReasonGroup=&eventDateOption=1&fromDate=mm%2Fdd%2Fyyyy&toDate=mm%2Fdd%2Fyyyy&startDate=&endDate=&fromMonth=1&fromYear=2019&toMonth=1&toYear=2019&startMonth=&startYear=&endMonth=&endYear=&specificMonth=1&specificYear=2019
"B07S7DW59Z","X0026Q33PV","Bamboo Charcoal Air Purifying Bag (5 Pack) Bundle, Natural Air Fresheners & Odor Eliminators for Home, Bad Air Deodorizer, Closet Freshener, Fridge Deodorizer, Car Air Purifier, Shoe Odor Eliminator","MKE1","US","10.20","8.50","2.91","inches","1.37","pounds","0.1462","cubic feet","Standard-Size","33.43","0.00","4.8879","2019-09","0.69","USD","3.3726","--","true","false",Meal Prep Haven,US,https://sellercentral.amazon.com/gp/ssof/reports/search.html#orderAscending=&recordType=STORAGE_FEE_CHARGES&noResultType=&merchantSku=&fnSku=&FnSkuXORMSku=&reimbursementId=&orderId=&genericOrderId=&asin=&lpn=&shipmentId=&problemType=ALL_DEFECT_TYPES&hazmatStatus=&inventoryEventTransactionType=&fulfillmentCenterId=&transactionItemId=&inventoryAdjustmentReasonGroup=&eventDateOption=1&fromDate=mm%2Fdd%2Fyyyy&toDate=mm%2Fdd%2Fyyyy&startDate=&endDate=&fromMonth=1&fromYear=2019&toMonth=1&toYear=2019&startMonth=&startYear=&endMonth=&endYear=&specificMonth=1&specificYear=2019
"B07S8CVKT3","X0026P07J7","Bamboo Odor Eliminator Bags (8 Pack), Bamboo Charcoal Air Purifying Bag w/Hooks, Closet Dehumidifier, Car Scent Freshener, Gym Bag Deodorizer, Shoe Odor Eliminators, 200g & 50g Bamboo Deodorizer Bags","MKE1","US","12.99","9.49","3.31","inches","2.60","pounds","0.2359","cubic feet","Standard-Size","39.67","0.00","9.3582","2019-09","0.69","USD","6.4571","--","true","false",Meal Prep Haven,US,https://sellercentral.amazon.com/gp/ssof/reports/search.html#orderAscending=&recordType=STORAGE_FEE_CHARGES&noResultType=&merchantSku=&fnSku=&FnSkuXORMSku=&reimbursementId=&orderId=&genericOrderId=&asin=&lpn=&shipmentId=&problemType=ALL_DEFECT_TYPES&hazmatStatus=&inventoryEventTransactionType=&fulfillmentCenterId=&transactionItemId=&inventoryAdjustmentReasonGroup=&eventDateOption=1&fromDate=mm%2Fdd%2Fyyyy&toDate=mm%2Fdd%2Fyyyy&startDate=&endDate=&fromMonth=1&fromYear=2019&toMonth=1&toYear=2019&startMonth=&startYear=&endMonth=&endYear=&specificMonth=1&specificYear=2019
"B0765YF3QP","X00249N7SX","Bamboo Charcoal Air Purifying Bag (5 Pack) Bundle, Natural Air Fresheners & Odor Eliminators for Home, Bad Air Deodorizer, Closet Freshener, Fridge Deodorizer, Car Air Purifier, Shoe Odor Eliminator","CLT4","US","8.60","4.70","2.50","inches","1.35","pounds","0.0585","cubic feet","Standard-Size","0.23","0.00","0.0136","2019-09","0.69","USD","0.0090","--","true","false",Meal Prep Haven,US,https://sellercentral.amazon.com/gp/ssof/reports/search.html#orderAscending=&recordType=STORAGE_FEE_CHARGES&noResultType=&merchantSku=&fnSku=&FnSkuXORMSku=&reimbursementId=&orderId=&genericOrderId=&asin=&lpn=&shipmentId=&problemType=ALL_DEFECT_TYPES&hazmatStatus=&inventoryEventTransactionType=&fulfillmentCenterId=&transactionItemId=&inventoryAdjustmentReasonGroup=&eventDateOption=1&fromDate=mm%2Fdd%2Fyyyy&toDate=mm%2Fdd%2Fyyyy&startDate=&endDate=&fromMonth=1&fromYear=2019&toMonth=1&toYear=2019&startMonth=&startYear=&endMonth=&endYear=&specificMonth=1&specificYear=2019
"B07S8CVKT3","X0026P07J7","Bamboo Odor Eliminator Bags (8 Pack), Bamboo Charcoal Air Purifying Bag w/Hooks, Closet Dehumidifier, Car Scent Freshener, Gym Bag Deodorizer, Shoe Odor Eliminators, 200g & 50g Bamboo Deodorizer Bags","CLT4","US","12.99","9.49","3.31","inches","2.60","pounds","0.2359","cubic feet","Standard-Size","0.20","0.00","0.0472","2019-09","0.69","USD","0.0310","--","true","false",Meal Prep Haven,US,https://sellercentral.amazon.com/gp/ssof/reports/search.html#orderAscending=&recordType=STORAGE_FEE_CHARGES&noResultType=&merchantSku=&fnSku=&FnSkuXORMSku=&reimbursementId=&orderId=&genericOrderId=&asin=&lpn=&shipmentId=&problemType=ALL_DEFECT_TYPES&hazmatStatus=&inventoryEventTransactionType=&fulfillmentCenterId=&transactionItemId=&inventoryAdjustmentReasonGroup=&eventDateOption=1&fromDate=mm%2Fdd%2Fyyyy&toDate=mm%2Fdd%2Fyyyy&startDate=&endDate=&fromMonth=1&fromYear=2019&toMonth=1&toYear=2019&startMonth=&startYear=&endMonth=&endYear=&specificMonth=1&specificYear=2019
